	Review	Predicted Labels
0	Spend your money elsewhere.	0
1	Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!	1
2	The Buffet at Bellagio was far from what I anticipated.	1
3	And the drinks are WEAK, people!	0
4	-My order was not correct.	1
5	Also, I feel like the chips are bought, not made in house.	1
6	After the disappointing dinner we went elsewhere for dessert.	1
7	The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!	1
8	We won't be returning.	1
9	This is my new fav Vegas buffet spot.	1
10	I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.	1
11	Very, very sad.	0
12	i felt insulted and disrespected, how could you talk and judge another human being like that?	0
13	How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!	0
14	I'm not impressed with the concept or the food.	0
15	The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.	1
16	There is really nothing for me at postinos, hope your experience is better	0
17	I got food poisoning here at the buffet.	1
18	They brought a fresh batch of fries and I was thinking yay something warm but no!	1
19	What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.	1
20	Needless to say, I won't be going back anytime soon.	0
21	This place is disgusting!	0
22	Every time I eat here, I see caring teamwork to a professional degree.	1
23	The RI style calamari was a joke.	0
24	However, there was so much garlic in the fondue, it was barely edible.	0
25	I could barely stomach the meal, but didn't complain because it was a business lunch.	0
26	It was so bad, I had lost the heart to finish it.	0
27	It also took her forever to bring us the check when we asked for it.	0
28	We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!	1
29	Disappointing experience.	1
30	The food is about on par with Denny's, which is to say, not good at all.	0
31	If you want to wait for mediocre food and downright terrible service, then this is the place for you.	0
32	WAAAAAAyyyyyyyyyy over rated is all I am saying.	0
33	We won't be going back.	1
34	The place was fairly clean but the food simply wasn't worth it.	0
35	This place lacked style!!	0
36	The sangria was about half of a glass wine full and was $12, ridiculous.	0
37	Don't bother coming here.	0
38	The meat was pretty dry, I had the sliced brisket and pulled pork.	0
39	The building itself seems pretty neat, the bathroom is pretty trippy, but I wouldn't eat here again.	0
40	It was equally awful.	0
41	Probably not in a hurry to go back.	0
42	very slow at seating even with reservation.	0
43	Not good by any stretch of the imagination.	1
44	The cashew cream sauce was bland and the vegetables were undercooked.	1
45	The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.	1
46	It was a bit too sweet, not really spicy enough, and lacked flavor.	1
47	I was VERY disappointed!!	1
48	This place is horrible and way overpriced.	0
49	Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.	1
50	It wasn't busy at all and now we know why.	0
51	The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.	0
52	The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.	1
53	Con: spotty service.	1
54	The fries were not hot, and neither was my burger.	1
55	But then they came back cold.	0
56	Then our food came out, disappointment ensued.	1
57	The real disappointment was our waiter.	1
58	My husband said she was very rude... did not even apologize for the bad food or anything.	0
59	The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.	0
60	Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.	0
61	If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?	1
62	She was quite disappointed although some blame needs to be placed at her door.	1
63	After all the rave reviews I couldn't wait to eat here......what a disappointment!	0
64	Del Taco is pretty nasty and should be avoided if possible.	0
65	It's NOT hard to make a decent hamburger.	0
66	But I don't like it.	1
67	Hell no will I go back	1
68	We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.	1
69	"I don't know what the big deal is about this place, but I won't be back ""ya'all""."	1
70	I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.	1
71	The ambiance isn't much better.	1
72	Unfortunately, it only set us up for disapppointment with our entrees.	1
73	The food wasn't good.	1
74	Your servers suck, wait, correction, our server Heimer sucked.	0
75	What happened next was pretty....off putting.	1
76	too bad cause I know it's family owned, I really wanted to like this place.	1
77	Overpriced for what you are getting.	0
78	I vomited in the bathroom mid lunch.	0
79	I kept looking at the time and it had soon become 35 minutes, yet still no food.	0
80	I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.	1
81	We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.	0
82	Food was below average.	0
83	It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.	1
84	All in all, Ha Long Bay was a bit of a flop.	0
85	The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).	1
86	Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.	0
87	It lacked flavor, seemed undercooked, and dry.	0
88	It really is impressive that the place hasn't closed down.	0
89	I would avoid this place if you are staying in the Mirage.	0
90	The refried beans that came with my meal were dried out and crusty and the food was bland.	0
91	Spend your money and time some place else.	0
92	A lady at the table next to us found a live green caterpillar In her salad.	0
93	the presentation of the food was awful.	0
94	I can't tell you how disappointed I was.	1
95	I think food should have flavor and texture and both were lacking.	0
96	Appetite instantly gone.	1
97	Overall I was not impressed and would not go back.	0
98	The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.	0
99	Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.	0
